date,Los Angeles,San Diego,San Francisco,Santa Barbara,Fresno,Sacramento,Ventura,Riverside
2020-02-01,13.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
2020-02-02,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-02-03,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-02-04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2020-02-07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
2020-02-11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-15,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-02-16,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-02-17,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2020-02-20,3.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0
2020-02-21,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0
2020-02-22,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2020-02-23,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,8.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2020-02-25,6.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
2020-02-26,12.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0
2020-02-27,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-02-28,8.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0
2020-02-29,8.0,3.0,2.0,0.0,0.0,6.0,0.0,2.0
2020-03-01,29.0,5.0,1.0,1.0,0.0,5.0,2.0,3.0
2020-03-02,19.0,7.0,4.0,0.0,1.0,4.0,2.0,1.0
2020-03-03,15.0,6.0,7.0,0.0,0.0,6.0,1.0,1.0
2020-03-04,19.0,7.0,2.0,1.0,1.0,1.0,1.0,3.0
2020-03-05,36.0,13.0,5.0,0.0,0.0,5.0,1.0,4.0
2020-03-06,47.0,7.0,10.0,1.0,0.0,6.0,2.0,3.0
2020-03-07,43.0,13.0,6.0,2.0,1.0,9.0,3.0,1.0
2020-03-08,51.0,18.0,6.0,0.0,1.0,13.0,3.0,10.0
2020-03-09,95.0,34.0,19.0,3.0,2.0,10.0,4.0,8.0
2020-03-10,105.0,39.0,20.0,2.0,0.0,4.0,4.0,10.0
2020-03-11,136.0,43.0,32.0,3.0,2.0,9.0,8.0,22.0
2020-03-12,172.0,50.0,25.0,9.0,3.0,18.0,8.0,26.0
2020-03-13,164.0,55.0,25.0,11.0,8.0,24.0,9.0,26.0
2020-03-14,157.0,50.0,14.0,4.0,5.0,22.0,14.0,30.0
2020-03-15,182.0,75.0,21.0,9.0,8.0,22.0,9.0,20.0
2020-03-16,249.0,87.0,58.0,9.0,20.0,36.0,11.0,52.0
2020-03-17,238.0,91.0,38.0,10.0,15.0,27.0,10.0,36.0
2020-03-18,209.0,67.0,27.0,12.0,10.0,20.0,17.0,62.0
2020-03-19,246.0,85.0,19.0,8.0,9.0,23.0,19.0,63.0
2020-03-20,291.0,83.0,36.0,12.0,9.0,33.0,22.0,111.0
2020-03-21,229.0,52.0,32.0,12.0,3.0,21.0,10.0,59.0
2020-03-22,277.0,77.0,36.0,10.0,4.0,27.0,8.0,47.0
2020-03-23,330.0,88.0,37.0,14.0,20.0,32.0,22.0,90.0
2020-03-24,308.0,59.0,29.0,18.0,10.0,33.0,17.0,43.0
2020-03-25,444.0,67.0,32.0,6.0,19.0,20.0,16.0,67.0
2020-03-26,399.0,62.0,41.0,10.0,20.0,26.0,16.0,71.0
2020-03-27,407.0,67.0,27.0,13.0,9.0,33.0,16.0,71.0
2020-03-28,406.0,57.0,25.0,14.0,12.0,23.0,9.0,56.0
2020-03-29,386.0,59.0,24.0,10.0,10.0,18.0,4.0,68.0
2020-03-30,648.0,72.0,44.0,8.0,24.0,40.0,27.0,124.0
2020-03-31,660.0,70.0,40.0,9.0,25.0,24.0,11.0,81.0
2020-04-01,661.0,82.0,35.0,15.0,25.0,52.0,11.0,146.0
2020-04-02,650.0,70.0,28.0,13.0,22.0,33.0,13.0,168.0
2020-04-03,834.0,67.0,26.0,11.0,16.0,18.0,18.0,117.0
2020-04-04,614.0,61.0,24.0,11.0,12.0,21.0,10.0,80.0
2020-04-05,614.0,48.0,38.0,9.0,10.0,18.0,13.0,101.0
2020-04-06,571.0,82.0,47.0,16.0,34.0,31.0,14.0,129.0
2020-04-07,733.0,82.0,40.0,9.0,22.0,30.0,18.0,126.0
2020-04-08,649.0,77.0,60.0,14.0,15.0,30.0,17.0,157.0
2020-04-09,601.0,74.0,67.0,17.0,20.0,34.0,9.0,157.0
2020-04-10,631.0,96.0,20.0,10.0,25.0,23.0,19.0,143.0
2020-04-11,515.0,60.0,31.0,8.0,7.0,9.0,9.0,66.0
2020-04-12,475.0,66.0,22.0,8.0,10.0,11.0,10.0,79.0
2020-04-13,720.0,90.0,27.0,19.0,29.0,37.0,10.0,182.0
2020-04-14,718.0,83.0,38.0,19.0,22.0,12.0,21.0,141.0
2020-04-15,895.0,95.0,54.0,24.0,23.0,9.0,13.0,135.0
2020-04-16,824.0,88.0,36.0,16.0,26.0,9.0,15.0,195.0
2020-04-17,892.0,108.0,44.0,11.0,30.0,8.0,12.0,120.0
2020-04-18,639.0,90.0,25.0,5.0,22.0,7.0,5.0,127.0
2020-04-19,530.0,102.0,39.0,6.0,20.0,12.0,8.0,75.0
2020-04-20,1003.0,167.0,33.0,7.0,36.0,27.0,8.0,143.0
2020-04-21,916.0,142.0,32.0,7.0,18.0,10.0,14.0,125.0
2020-04-22,861.0,156.0,30.0,9.0,34.0,10.0,12.0,132.0
2020-04-23,1025.0,128.0,37.0,5.0,40.0,5.0,11.0,104.0
2020-04-24,1061.0,161.0,25.0,6.0,38.0,12.0,14.0,114.0
2020-04-25,930.0,111.0,58.0,6.0,23.0,6.0,10.0,81.0
2020-04-26,633.0,101.0,25.0,7.0,32.0,2.0,14.0,90.0
2020-04-27,1158.0,142.0,39.0,7.0,94.0,9.0,18.0,143.0
2020-04-28,1019.0,126.0,54.0,8.0,103.0,15.0,19.0,123.0
2020-04-29,1064.0,130.0,35.0,5.0,51.0,15.0,20.0,95.0
2020-04-30,977.0,142.0,28.0,13.0,52.0,22.0,24.0,77.0
2020-05-01,1010.0,171.0,34.0,12.0,66.0,6.0,28.0,100.0
2020-05-02,756.0,91.0,44.0,6.0,31.0,5.0,13.0,64.0
2020-05-03,529.0,102.0,23.0,8.0,26.0,3.0,14.0,66.0
2020-05-04,986.0,137.0,29.0,359.0,92.0,9.0,34.0,105.0
2020-05-05,1297.0,141.0,38.0,247.0,70.0,10.0,21.0,94.0
2020-05-06,1070.0,143.0,35.0,221.0,73.0,7.0,24.0,110.0
2020-05-07,1008.0,133.0,25.0,41.0,63.0,6.0,27.0,144.0
2020-05-08,1122.0,157.0,31.0,27.0,86.0,6.0,24.0,116.0
2020-05-09,731.0,107.0,18.0,9.0,42.0,5.0,18.0,100.0
2020-05-10,622.0,112.0,15.0,8.0,38.0,4.0,21.0,95.0
2020-05-11,1261.0,152.0,18.0,11.0,85.0,16.0,58.0,122.0
2020-05-12,1181.0,153.0,46.0,11.0,92.0,15.0,61.0,158.0
2020-05-13,998.0,144.0,35.0,31.0,84.0,20.0,56.0,123.0
2020-05-14,1311.0,136.0,28.0,11.0,98.0,15.0,31.0,123.0
2020-05-15,1175.0,135.0,33.0,12.0,60.0,12.0,31.0,184.0
2020-05-16,787.0,107.0,16.0,9.0,67.0,10.0,18.0,114.0
2020-05-17,574.0,86.0,23.0,11.0,57.0,7.0,26.0,85.0
2020-05-18,1241.0,132.0,27.0,20.0,106.0,11.0,45.0,173.0
2020-05-19,1028.0,133.0,23.0,11.0,78.0,6.0,23.0,200.0
2020-05-20,1204.0,144.0,34.0,14.0,114.0,14.0,41.0,160.0
2020-05-21,997.0,117.0,23.0,19.0,73.0,10.0,36.0,143.0
2020-05-22,1038.0,136.0,24.0,15.0,91.0,13.0,49.0,186.0
2020-05-23,797.0,86.0,18.0,10.0,59.0,16.0,18.0,115.0
2020-05-24,545.0,91.0,19.0,8.0,20.0,16.0,20.0,91.0
2020-05-25,1016.0,143.0,23.0,12.0,67.0,16.0,12.0,141.0
2020-05-26,1812.0,176.0,37.0,10.0,104.0,20.0,41.0,231.0
2020-05-27,1467.0,143.0,33.0,17.0,87.0,26.0,37.0,447.0
2020-05-28,1375.0,151.0,29.0,15.0,88.0,28.0,25.0,379.0
2020-05-29,1577.0,157.0,34.0,28.0,81.0,20.0,33.0,404.0
2020-05-30,957.0,123.0,24.0,27.0,50.0,23.0,24.0,186.0
2020-05-31,536.0,93.0,25.0,19.0,61.0,11.0,17.0,144.0
2020-06-01,1295.0,194.0,36.0,51.0,165.0,31.0,61.0,256.0
2020-06-02,1473.0,180.0,37.0,34.0,95.0,39.0,53.0,452.0
2020-06-03,1404.0,146.0,35.0,40.0,113.0,29.0,53.0,296.0
2020-06-04,1609.0,148.0,31.0,34.0,99.0,29.0,67.0,274.0
2020-06-05,1466.0,163.0,33.0,31.0,105.0,28.0,44.0,278.0
2020-06-06,1152.0,115.0,18.0,31.0,64.0,22.0,33.0,259.0
2020-06-07,753.0,121.0,15.0,39.0,55.0,23.0,24.0,178.0
2020-06-08,1708.0,179.0,44.0,55.0,130.0,48.0,66.0,296.0
2020-06-09,1462.0,157.0,27.0,55.0,124.0,50.0,58.0,369.0
2020-06-10,1660.0,185.0,25.0,56.0,152.0,54.0,66.0,378.0
2020-06-11,1515.0,164.0,25.0,56.0,177.0,39.0,46.0,323.0
2020-06-12,1667.0,230.0,29.0,61.0,153.0,48.0,77.0,353.0
